fecha,timestamp_maximo,hora,estacion_maximo,valor_original_ppb,bit,delta_ppb,valor_recibido_ppb,banda_original,banda_recibida,cambio_banda,contingencia_real_fase1,falsa_fase1,anulada_fase1,cruce_fase2_instantaneo,anulacion_fase2_instantanea,en_test_lstm
2025-01-28,2025-01-28 16:00:00,16,FAC,137,5,32,169,3,3,0,0,1,0,0,0,False
2025-01-28,2025-01-28 16:00:00,16,FAC,137,6,64,201,3,4,1,0,1,0,1,0,False
2025-01-28,2025-01-28 16:00:00,16,FAC,137,7,128,9,3,0,1,0,0,0,0,0,False
2025-01-29,2025-01-29 16:00:00,16,CUT,91,3,8,83,2,1,1,0,0,0,0,0,False
2025-01-29,2025-01-29 16:00:00,16,CUT,91,4,16,75,2,1,1,0,0,0,0,0,False
2025-01-29,2025-01-29 16:00:00,16,CUT,91,5,32,123,2,2,0,0,0,0,0,0,False
2025-01-29,2025-01-29 16:00:00,16,CUT,91,6,64,27,2,0,1,0,0,0,0,0,False
2025-01-29,2025-01-29 16:00:00,16,CUT,91,7,128,219,2,4,1,0,1,0,1,0,False
2025-01-30,2025-01-30 13:00:00,13,CUT,61,3,8,53,1,0,1,0,0,0,0,0,False
2025-01-30,2025-01-30 13:00:00,13,CUT,61,4,16,45,1,0,1,0,0,0,0,0,False
2025-01-30,2025-01-30 13:00:00,13,CUT,61,5,32,29,1,0,1,0,0,0,0,0,False
2025-01-30,2025-01-30 13:00:00,13,CUT,61,6,64,125,1,2,1,0,0,0,0,0,False
2025-01-30,2025-01-30 13:00:00,13,CUT,61,7,128,189,1,4,1,0,1,0,0,0,False
2025-01-31,2025-01-31 14:00:00,14,AJM,95,3,8,87,2,1,1,0,0,0,0,0,False
2025-01-31,2025-01-31 14:00:00,14,AJM,95,4,16,79,2,1,1,0,0,0,0,0,False
2025-01-31,2025-01-31 14:00:00,14,AJM,95,5,32,127,2,2,0,0,0,0,0,0,False
2025-01-31,2025-01-31 14:00:00,14,AJM,95,6,64,31,2,0,1,0,0,0,0,0,False
2025-01-31,2025-01-31 14:00:00,14,AJM,95,7,128,223,2,4,1,0,1,0,1,0,False
2025-02-01,2025-02-01 15:00:00,15,FAC,101,3,8,109,2,2,0,0,0,0,0,0,False
2025-02-01,2025-02-01 15:00:00,15,FAC,101,4,16,117,2,2,0,0,0,0,0,0,False
2025-02-01,2025-02-01 15:00:00,15,FAC,101,5,32,69,2,1,1,0,0,0,0,0,False
2025-02-01,2025-02-01 15:00:00,15,FAC,101,6,64,37,2,0,1,0,0,0,0,0,False
2025-02-01,2025-02-01 15:00:00,15,FAC,101,7,128,229,2,4,1,0,1,0,1,0,False
2025-02-02,2025-02-02 14:00:00,14,CAM,96,3,8,104,2,2,0,0,0,0,0,0,False
2025-02-02,2025-02-02 14:00:00,14,CAM,96,4,16,112,2,2,0,0,0,0,0,0,False
2025-02-02,2025-02-02 14:00:00,14,CAM,96,5,32,64,2,1,1,0,0,0,0,0,False
2025-02-02,2025-02-02 14:00:00,14,CAM,96,6,64,32,2,0,1,0,0,0,0,0,False
2025-02-02,2025-02-02 14:00:00,14,CAM,96,7,128,224,2,4,1,0,1,0,1,0,False
2025-02-03,2025-02-03 15:00:00,15,HGM,101,3,8,109,2,2,0,0,0,0,0,0,False
2025-02-03,2025-02-03 15:00:00,15,HGM,101,4,16,117,2,2,0,0,0,0,0,0,False
2025-02-03,2025-02-03 15:00:00,15,HGM,101,5,32,69,2,1,1,0,0,0,0,0,False
2025-02-03,2025-02-03 15:00:00,15,HGM,101,6,64,37,2,0,1,0,0,0,0,0,False
2025-02-03,2025-02-03 15:00:00,15,HGM,101,7,128,229,2,4,1,0,1,0,1,0,False
2025-02-04,2025-02-04 16:00:00,16,CAM,93,3,8,85,2,1,1,0,0,0,0,0,False
2025-02-04,2025-02-04 16:00:00,16,CAM,93,4,16,77,2,1,1,0,0,0,0,0,False
2025-02-04,2025-02-04 16:00:00,16,CAM,93,5,32,125,2,2,0,0,0,0,0,0,False
2025-02-04,2025-02-04 16:00:00,16,CAM,93,6,64,29,2,0,1,0,0,0,0,0,False
2025-02-04,2025-02-04 16:00:00,16,CAM,93,7,128,221,2,4,1,0,1,0,1,0,False
2025-02-05,2025-02-05 16:00:00,16,CCA,123,3,8,115,2,2,0,0,0,0,0,0,False
2025-02-05,2025-02-05 16:00:00,16,CCA,123,4,16,107,2,2,0,0,0,0,0,0,False
2025-02-05,2025-02-05 16:00:00,16,CCA,123,5,32,91,2,2,0,0,0,0,0,0,False
2025-02-05,2025-02-05 16:00:00,16,CCA,123,6,64,59,2,1,1,0,0,0,0,0,False
2025-02-05,2025-02-05 16:00:00,16,CCA,123,7,128,251,2,4,1,0,1,0,1,0,False
2025-02-06,2025-02-06 14:00:00,14,AJM,100,3,8,108,2,2,0,0,0,0,0,0,False
2025-02-06,2025-02-06 14:00:00,14,AJM,100,4,16,116,2,2,0,0,0,0,0,0,False
2025-02-06,2025-02-06 14:00:00,14,AJM,100,5,32,68,2,1,1,0,0,0,0,0,False
2025-02-06,2025-02-06 14:00:00,14,AJM,100,6,64,36,2,0,1,0,0,0,0,0,False
2025-02-06,2025-02-06 14:00:00,14,AJM,100,7,128,228,2,4,1,0,1,0,1,0,False
2025-02-07,2025-02-07 16:00:00,16,MPA,108,3,8,100,2,2,0,0,0,0,0,0,False
2025-02-07,2025-02-07 16:00:00,16,MPA,108,4,16,124,2,2,0,0,0,0,0,0,False
2025-02-07,2025-02-07 16:00:00,16,MPA,108,5,32,76,2,1,1,0,0,0,0,0,False
2025-02-07,2025-02-07 16:00:00,16,MPA,108,6,64,44,2,0,1,0,0,0,0,0,False
2025-02-07,2025-02-07 16:00:00,16,MPA,108,7,128,236,2,4,1,0,1,0,1,0,False
2025-02-08,2025-02-08 16:00:00,16,AJM,122,3,8,114,2,2,0,0,0,0,0,0,False
2025-02-08,2025-02-08 16:00:00,16,AJM,122,4,16,106,2,2,0,0,0,0,0,0,False
2025-02-08,2025-02-08 16:00:00,16,AJM,122,5,32,90,2,1,1,0,0,0,0,0,False
2025-02-08,2025-02-08 16:00:00,16,AJM,122,6,64,58,2,0,1,0,0,0,0,0,False
2025-02-08,2025-02-08 16:00:00,16,AJM,122,7,128,250,2,4,1,0,1,0,1,0,False
2025-02-09,2025-02-09 16:00:00,16,CUA,129,3,8,137,2,3,1,0,0,0,0,0,False
2025-02-09,2025-02-09 16:00:00,16,CUA,129,4,16,145,2,3,1,0,0,0,0,0,False
2025-02-09,2025-02-09 16:00:00,16,CUA,129,5,32,161,2,3,1,0,1,0,0,0,False
2025-02-09,2025-02-09 16:00:00,16,CUA,129,6,64,193,2,4,1,0,1,0,0,0,False
2025-02-09,2025-02-09 16:00:00,16,CUA,129,7,128,1,2,0,1,0,0,0,0,0,False
2025-02-10,2025-02-10 15:00:00,15,MPA,119,3,8,127,2,2,0,0,0,0,0,0,False
2025-02-10,2025-02-10 15:00:00,15,MPA,119,4,16,103,2,2,0,0,0,0,0,0,False
2025-02-10,2025-02-10 15:00:00,15,MPA,119,5,32,87,2,1,1,0,0,0,0,0,False
2025-02-10,2025-02-10 15:00:00,15,MPA,119,6,64,55,2,0,1,0,0,0,0,0,False
2025-02-10,2025-02-10 15:00:00,15,MPA,119,7,128,247,2,4,1,0,1,0,1,0,False
2025-02-11,2025-02-11 15:00:00,15,TLA,125,3,8,117,2,2,0,0,0,0,0,0,False
2025-02-11,2025-02-11 15:00:00,15,TLA,125,4,16,109,2,2,0,0,0,0,0,0,False
2025-02-11,2025-02-11 15:00:00,15,TLA,125,5,32,93,2,2,0,0,0,0,0,0,False
2025-02-11,2025-02-11 15:00:00,15,TLA,125,6,64,61,2,1,1,0,0,0,0,0,False
2025-02-11,2025-02-11 15:00:00,15,TLA,125,7,128,253,2,4,1,0,1,0,1,0,False
2025-02-12,2025-02-12 14:00:00,14,NEZ,79,3,8,71,1,1,0,0,0,0,0,0,False
2025-02-12,2025-02-12 14:00:00,14,NEZ,79,4,16,95,1,2,1,0,0,0,0,0,False
2025-02-12,2025-02-12 14:00:00,14,NEZ,79,5,32,111,1,2,1,0,0,0,0,0,False
2025-02-12,2025-02-12 14:00:00,14,NEZ,79,6,64,15,1,0,1,0,0,0,0,0,False
2025-02-12,2025-02-12 14:00:00,14,NEZ,79,7,128,207,1,4,1,0,1,0,1,0,False
2025-02-13,2025-02-13 14:00:00,14,CUA,102,3,8,110,2,2,0,0,0,0,0,0,False
2025-02-13,2025-02-13 14:00:00,14,CUA,102,4,16,118,2,2,0,0,0,0,0,0,False
2025-02-13,2025-02-13 14:00:00,14,CUA,102,5,32,70,2,1,1,0,0,0,0,0,False
2025-02-13,2025-02-13 14:00:00,14,CUA,102,6,64,38,2,0,1,0,0,0,0,0,False
2025-02-13,2025-02-13 14:00:00,14,CUA,102,7,128,230,2,4,1,0,1,0,1,0,False
