estacion,bit,delta_ppb,umbral_p95_ppb,n_ataques,n_dano_banda,n_detectados,n_dano_detectado,n_dano_no_detectado,pct_dano,pct_dano_detectado,pct_dano_no_detectado,dias_disponibles,dias_vulnerables,dias_no_detectados,pct_dias_vulnerables,pct_dias_dano_no_detectado,falsas_fase1,anuladas_fase1,cruces_fase2_arriba,cruces_fase2_abajo
BJU,6,64,22.23162269592285,478,478,474,474,4,100.0,99.16317991631799,0.8368200836820083,21,21,2,100.0,9.523809523809524,0,0,0,0
BJU,7,128,22.23162269592285,478,478,478,478,0,100.0,100.0,0.0,21,21,0,100.0,0.0,180,0,53,0
CAM,3,8,21.275402069091797,1656,129,201,40,89,7.7898550724637685,31.007751937984494,68.9922480620155,73,55,46,75.34246575342466,63.013698630136986,0,0,0,0
CAM,4,16,21.275402069091797,1656,139,386,53,86,8.393719806763285,38.1294964028777,61.8705035971223,73,56,46,76.71232876712328,63.013698630136986,0,0,0,0
CAM,5,32,21.275402069091797,1656,319,1453,234,85,19.26328502415459,73.35423197492163,26.645768025078368,73,68,42,93.15068493150685,57.534246575342465,2,0,0,0
CAM,6,64,21.275402069091797,1656,1656,1639,1639,17,100.0,98.97342995169082,1.0265700483091786,73,72,9,98.63013698630137,12.32876712328767,2,0,1,0
CAM,7,128,21.275402069091797,1656,1656,1656,1656,0,100.0,100.0,0.0,73,72,0,98.63013698630137,0.0,537,0,159,0
CCA,3,8,17.501649856567383,1684,160,335,49,111,9.501187648456057,30.625,69.375,73,64,55,87.67123287671232,75.34246575342466,0,0,0,0
CCA,4,16,17.501649856567383,1684,171,616,77,94,10.15439429928741,45.02923976608187,54.97076023391813,73,63,50,86.3013698630137,68.4931506849315,2,0,0,0
CCA,5,32,17.501649856567383,1684,426,1508,341,85,25.29691211401425,80.0469483568075,19.953051643192488,73,72,44,98.63013698630137,60.273972602739725,7,0,0,0
CCA,6,64,17.501649856567383,1684,1684,1672,1672,12,100.0,99.2874109263658,0.7125890736342043,73,72,4,98.63013698630137,5.47945205479452,7,0,3,0
CCA,7,128,17.501649856567383,1684,1684,1684,1684,0,100.0,100.0,0.0,73,72,0,98.63013698630137,0.0,718,0,275,0
CUA,3,8,34.0005989074707,1553,150,66,15,135,9.658725048293626,10.0,90.0,67,59,59,88.05970149253731,88.05970149253731,0,0,0,0
CUA,4,16,34.0005989074707,1553,185,143,33,152,11.912427559562138,17.83783783783784,82.16216216216216,67,62,59,92.53731343283582,88.05970149253731,0,0,0,0
CUA,5,32,34.0005989074707,1553,426,530,214,212,27.430779137153895,50.23474178403756,49.76525821596244,67,66,61,98.50746268656717,91.04477611940298,5,0,0,0
CUA,6,64,34.0005989074707,1553,1553,1494,1494,59,100.0,96.20090148100451,3.7990985189954927,67,67,24,100.0,35.82089552238806,5,0,1,0
CUA,7,128,34.0005989074707,1553,1553,1553,1553,0,100.0,100.0,0.0,67,67,0,100.0,0.0,869,0,199,0
CUT,3,8,19.391748428344727,1604,117,159,22,95,7.29426433915212,18.803418803418804,81.19658119658119,70,52,49,74.28571428571429,70.0,0,0,0,0
CUT,4,16,19.391748428344727,1604,129,436,45,84,8.042394014962593,34.883720930232556,65.11627906976744,70,56,48,80.0,68.57142857142857,0,0,0,0
CUT,5,32,19.391748428344727,1604,258,1479,228,30,16.084788029925186,88.37209302325581,11.627906976744185,70,63,22,90.0,31.428571428571427,0,0,0,0
CUT,6,64,19.391748428344727,1604,1604,1604,1604,0,100.0,100.0,0.0,70,69,0,98.57142857142857,0.0,0,0,0,0
CUT,7,128,19.391748428344727,1604,1604,1604,1604,0,100.0,100.0,0.0,70,69,0,98.57142857142857,0.0,505,0,84,0
FAC,3,8,21.2264404296875,1004,79,125,24,55,7.868525896414343,30.379746835443036,69.62025316455696,45,37,31,82.22222222222223,68.88888888888889,0,0,0,0
FAC,4,16,21.2264404296875,1004,78,211,30,48,7.768924302788845,38.46153846153846,61.53846153846154,45,36,29,80.0,64.44444444444444,0,0,0,0
FAC,5,32,21.2264404296875,1004,188,844,143,45,18.725099601593627,76.06382978723404,23.93617021276596,45,42,24,93.33333333333333,53.333333333333336,0,0,0,0
FAC,6,64,21.2264404296875,1004,1004,1002,1002,2,100.0,99.800796812749,0.199203187250996,45,44,1,97.77777777777777,2.2222222222222223,0,0,0,0
FAC,7,128,21.2264404296875,1004,1004,1004,1004,0,100.0,100.0,0.0,45,44,0,97.77777777777777,0.0,381,0,60,0
GAM,3,8,23.011878967285156,561,40,77,12,28,7.1301247771836005,30.0,70.0,26,19,17,73.07692307692308,65.38461538461539,0,0,0,0
GAM,4,16,23.011878967285156,561,41,133,17,24,7.308377896613191,41.46341463414634,58.53658536585366,26,19,16,73.07692307692308,61.53846153846154,0,0,0,0
GAM,5,32,23.011878967285156,561,91,498,73,18,16.221033868092693,80.21978021978022,19.78021978021978,26,22,12,84.61538461538461,46.15384615384615,0,0,0,0
GAM,6,64,23.011878967285156,561,561,556,556,5,100.0,99.10873440285205,0.8912655971479501,26,25,3,96.15384615384616,11.538461538461538,0,0,0,0
GAM,7,128,23.011878967285156,561,561,561,561,0,100.0,100.0,0.0,26,25,0,96.15384615384616,0.0,186,0,34,0
HGM,3,8,18.55071258544922,1671,153,231,46,107,9.156193895870736,30.065359477124183,69.93464052287581,73,61,54,83.56164383561644,73.97260273972603,0,0,0,0
HGM,4,16,18.55071258544922,1671,140,513,65,75,8.378216636744465,46.42857142857143,53.57142857142857,73,62,47,84.93150684931507,64.38356164383562,2,0,0,0
HGM,5,32,18.55071258544922,1671,344,1503,265,79,20.586475164572114,77.03488372093024,22.96511627906977,73,68,39,93.15068493150685,53.42465753424658,3,0,0,0
HGM,6,64,18.55071258544922,1671,1671,1669,1669,2,100.0,99.88031119090365,0.11968880909634949,73,72,1,98.63013698630137,1.36986301369863,3,0,2,0
HGM,7,128,18.55071258544922,1671,1671,1671,1671,0,100.0,100.0,0.0,73,72,0,98.63013698630137,0.0,626,0,205,0
INN,3,8,20.082935333251953,1562,75,197,22,53,4.801536491677337,29.333333333333332,70.66666666666667,70,28,23,40.0,32.857142857142854,0,0,0,0
INN,4,16,20.082935333251953,1562,104,454,38,66,6.658130601792574,36.53846153846154,63.46153846153846,70,41,31,58.57142857142857,44.285714285714285,0,0,0,0
INN,5,32,20.082935333251953,1562,262,1355,230,32,16.77336747759283,87.78625954198473,12.213740458015268,70,64,20,91.42857142857143,28.571428571428573,0,0,0,0
INN,6,64,20.082935333251953,1562,1562,1558,1558,4,100.0,99.74391805377721,0.2560819462227913,70,69,1,98.57142857142857,1.4285714285714286,0,0,0,0
INN,7,128,20.082935333251953,1562,1562,1562,1562,0,100.0,100.0,0.0,70,69,0,98.57142857142857,0.0,641,0,33,0
LLA,3,8,13.367424011230469,1563,105,436,59,46,6.717850287907869,56.19047619047619,43.80952380952381,69,49,32,71.01449275362319,46.3768115942029,0,0,0,0
LLA,4,16,13.367424011230469,1563,131,786,83,48,8.381317978246962,63.3587786259542,36.6412213740458,69,54,34,78.26086956521739,49.27536231884058,0,0,0,0
LLA,5,32,13.367424011230469,1563,223,1448,205,18,14.267434420985285,91.92825112107623,8.071748878923767,69,60,14,86.95652173913044,20.28985507246377,0,0,0,0
LLA,6,64,13.367424011230469,1563,1563,1562,1562,1,100.0,99.9360204734485,0.06397952655150352,69,68,1,98.55072463768116,1.4492753623188406,0,0,0,0
LLA,7,128,13.367424011230469,1563,1563,1563,1563,0,100.0,100.0,0.0,69,68,0,98.55072463768116,0.0,515,0,72,0
LPR,3,8,19.26908302307129,1661,102,274,50,52,6.1408789885611075,49.01960784313726,50.98039215686274,73,49,33,67.12328767123287,45.205479452054796,0,0,0,0
LPR,4,16,19.26908302307129,1661,119,563,60,59,7.164358819987959,50.42016806722689,49.57983193277311,73,54,36,73.97260273972603,49.31506849315068,0,0,0,0
LPR,5,32,19.26908302307129,1661,231,1481,201,30,13.907284768211921,87.01298701298701,12.987012987012987,73,65,22,89.04109589041096,30.136986301369863,1,0,0,0
LPR,6,64,19.26908302307129,1661,1661,1649,1649,12,100.0,99.27754364840457,0.7224563515954244,73,72,8,98.63013698630137,10.95890410958904,1,0,0,0
LPR,7,128,19.26908302307129,1661,1661,1661,1661,0,100.0,100.0,0.0,73,72,0,98.63013698630137,0.0,585,0,61,0
